Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual
Switzerland,1,7.59,1.4,1.35,0.94,0.67,0.42,0.3,2.52
Iceland,2,7.56,1.3,1.4,0.95,0.63,0.14,0.44,2.7
Denmark,3,7.53,1.33,1.36,0.87,0.65,0.48,0.34,2.49
Norway,4,7.52,1.46,1.33,0.89,0.67,0.37,0.35,2.47
Canada,5,7.43,1.33,1.32,0.91,0.63,0.33,0.46,2.45
Finland,6,7.41,1.29,1.32,0.89,0.64,0.41,0.23,2.62
Netherlands,7,7.38,1.33,1.28,0.89,0.62,0.32,0.48,2.47
Sweden,8,7.36,1.33,1.29,0.91,0.66,0.44,0.36,2.37
New Zealand,9,7.29,1.25,1.32,0.91,0.64,0.43,0.48,2.26
Australia,10,7.28,1.33,1.31,0.93,0.65,0.36,0.44,2.27
Israel,11,7.28,1.23,1.22,0.91,0.41,0.08,0.33,3.09
Costa Rica,12,7.23,0.96,1.24,0.86,0.63,0.11,0.25,3.18
Austria,13,7.2,1.34,1.3,0.89,0.62,0.19,0.33,2.53
Mexico,14,7.19,1.02,0.91,0.81,0.48,0.21,0.14,3.6
United States,15,7.12,1.39,1.25,0.86,0.55,0.16,0.4,2.51
Brazil,16,6.98,0.98,1.23,0.7,0.49,0.18,0.15,3.26
Luxembourg,17,6.95,1.56,1.22,0.92,0.62,0.38,0.28,1.97
Ireland,18,6.94,1.34,1.37,0.9,0.62,0.29,0.46,1.98
Belgium,19,6.94,1.31,1.29,0.9,0.58,0.23,0.22,2.41
United Arab Emirates,20,6.9,1.43,1.13,0.81,0.64,0.39,0.26,2.25
United Kingdom,21,6.87,1.27,1.29,0.91,0.6,0.32,0.52,1.97
Oman,22,6.85,1.36,1.08,0.76,0.63,0.33,0.22,2.47
Venezuela,23,6.81,1.04,1.26,0.72,0.43,0.11,0.06,3.19
Singapore,24,6.8,1.52,1.02,1.03,0.54,0.49,0.31,1.89
Panama,25,6.79,1.06,1.2,0.8,0.54,0.09,0.24,2.85
Germany,26,6.75,1.33,1.3,0.89,0.61,0.22,0.28,2.12
Chile,27,6.67,1.11,1.12,0.86,0.44,0.13,0.33,2.68
Qatar,28,6.61,1.69,1.08,0.8,0.64,0.52,0.33,1.56
France,29,6.58,1.28,1.26,0.95,0.55,0.21,0.12,2.21
Argentina,30,6.57,1.05,1.25,0.79,0.45,0.08,0.11,2.84
Czech Republic,31,6.51,1.18,1.21,0.84,0.46,0.03,0.11,2.68
Uruguay,32,6.49,1.06,1.21,0.81,0.6,0.25,0.23,2.32
Colombia,33,6.48,0.92,1.24,0.69,0.53,0.05,0.18,2.86
Thailand,34,6.46,0.97,1.27,0.74,0.56,0.03,0.58,2.32
