stars,comment
"4.0 out of 5 stars","Very slow.  My kettle boils before I can finish grinding one canister for the French press, using a drill on low speed at home.  I bought it for camping, takes about 10 minutes to grind enough coarse ground for a camping kettle. Does the job and is very compact."
"1.0 out of 5 stars","The design seems flawed, in that the cone isn't held in perfect concentricy with the cup, therefore  creating a grind that's comprised of varying ground sizes. Every time. Would not buy it again, even after having a replacement sent to me. The folks at the company were great to deal with, but I have to wonder if they don't  realize they have a dog on their hands."
"5.0 out of 5 stars","Hey there Folks! So I just wanna state my qualifications:1) I am not a coffee Snob2) I drink coffee like a white gurl3) You'd be surprised to know I don't actually have a clue what good coffee is.What I do know, though, is that this grinder does the Job!! I use Black Rifle Coffee Company Coffee and I love doing a medium-coarse grind to compliment my French press and really extract flavors.A few tips with this grinder:1) Try different grinds to dial in what YOU like. I can't be the definition of what someone would enjoy or not enjoy2) When using a French press make sure its at least larger than a medium grind and to give you an idea 18 clicks out is Coarse, 9 clicks out from being completely tightened is Medium and so on.3) Cleaning this with a clean and DRY brush is super easy and fast and I've had 0 issues. Personally I barely clean it. Maybe clean it every 2 weeks unless you're OCD.4) Field use is good for it. I have used this as a comfort item while I'm in the field and it's been in the front of my pack when I jump out of planes on operations. It can take the abuse5) When grinding slow and even strokes work best. If you bounce the grinder around it will not grind evenly and you'll get a larger grind size than you want.In closing I'd say the only con is the bottom part that catches the coffee doesn't stay on well and I actually attached a Velcro cord on it that attaches to the bottom to the coffee catchers so it doesn't have to be held closed while coffee is being ground. I do also have to say it takes about 4 minutes for a medium course grind. You won't need a shake weight if you use this thing every day."
"5.0 out of 5 stars","I've always HEARD there was a difference with this kind of grind, and doing only what you truly need for that cup to be served within 15 minutes...but I can confirm it is a true statement!  Beans are heated up with the electric grinder (and the clean-up is almost as time-consuming anyway).  This gives me a ritual I am starting to really enjoy - either take the time to make the coffee, or forget it!  :)  The actual burr/grinder seems to be working quite well.  I've tried a very small grind, as well as a medium for my aeropress.  Adjusting the knob is not an exact science - it's done by screwing the knob tighter or loosening, but works well.  I'm looking forward to taking this with me when I travel!  Take this and an aero press, and you're SET in my book!  :)I've timed myself start to finish, water in kettle, measure beans, grind, pour, rinse the grinder with hot water and set on the drying mat to air dry for next day, and then press the coffee.  Takes about 10 minutes for me start to finish.  Reminds me to slow down...  :)"
"5.0 out of 5 stars","I love this item. I am getting into grinding my own coffee & have been looking for a burr grinder forever. I wanted an electric one initially, but I didn't want to spend $100 bucks for a decent one, & I don't want something that will take up valuable real estate on my counter. This item fits the bill nicely. This grinder is adjustable & takes a little messing around to find your preferred setting, but once you find it, you'll know. The only issue I have had, is when using different flavored coffees, the flavor can sometimes get trapped. I spoke with my coffee guru who recommended taking some dry rice & grinding it through. This trick works well & also helps to clean the grinder as well. The only issue/concern I have is that I have never owned a different grinder, so I cannot comment on it's quality/skill versus other grinders. All I can say is that this fits my needs perfectly, works well for my purpose, & is very reasonably priced. I have used this item multiple times daily for over 40 days without any issues."
"2.0 out of 5 stars","The grinder is very compact and is a perfect size for traveling.  It can only hold enough beans to grind for a single cup for pour-over or drip coffee machines.  With this grinder, the ability to ''dial in' your grind size is very convenient and helpful.  However, due to the nature of the ceramic burr and the drive shaft being loose, grind consistency is lacking.  In addition, after 6 months of regular use (used every morning, cleaned every month) two of the plastic pieces in the drive shaft broke causing a clicking sound when grinding and eventually rendering the grinder ineffective and unusable.  I would not recommend this grinder for long term use but for travel/occasional usage, as it is not designed for durability in everyday repeated work.Update: I was shipped a replacement grinder with updated parts in December 2017. The grinder worked well until May 2018 and has the same issues as listed above. Plastic pieces inside the grinder break and cause the crank shaft to wobble and the ceramic burr will no longer grind consistently (range of sizes in ground varies greatly). I stand by my initial assessment, as this grinder cannot handle everyday use for more than 6 months at a time. If you make your own coffee everyday like I do, I would suggest spending more money for a better manual grinder that can take the pressure."
"1.0 out of 5 stars","Pretty solid, however, settings seemed to be skewed to the coarse vs. fine side in regard to the setting of the grind. Also the handle is clearly made of a different material than the stainless steel body and you have to be careful not to get it wet because mine rusted after one day of air drying by the sink - UPDATE THE INTERNAL MECHANISM BROKE DOWN IN ABOUT 2 WEEKS THIS PRODUCT IS CHEAP AND DOES NOT HOLD UP"
"3.0 out of 5 stars","great little grinder but after 6 months the plastic piece inside the ceramic part broke. I hope I can buy this replacement part."
"1.0 out of 5 stars","I was so excited to receive this as I've seen such glowing reviews for the Javapresse all over the net, not just on Amazon.After a few minutes of the entire assembly turning when I tried to adjust the grind, it stopped and I finally got it to the number 7 setting for my MokaPot.  The grind came out beautifully even but it took me about 15 minutes just to grind the beans for one cup of coffee!  I don't have the time to do this for every cup!  Then I decided to try to change the grind coarser for a french press.  I can't even change the setting now because the whole grinding assembly turns and I can't adjust the coarseness.  This thing only lasted for one very expensive cup of coffee.  This is junk! RIPOFF! DO NOT BUY!"
"4.0 out of 5 stars","About 4 months ago, my wife bought us an espresso maker for our anniversary.  After seeing prices upwards of $100 for every electric burr grinder out there, we decided to go with this little guy instead.  Now, after having two of these grinders and making espressos every day (no that is not a joke, and yes, we like our coffee), there are four big takeaways:0) First off, this thing grinds quite well, which it should since that's is sole job (but see #2).  Espresso absolutely tastes noticeably different between this and an electric blade grinder.  If you want espresso, you need a non-blade grinder of some sort, for certain.1) This device is ...  SLOOOOOW ... at grinding espresso for two people.  It is quite fast if you want a French press (takes us about a minute), but if you want grinds small enough for several shots of espresso, be prepared to elbow grease it for 5-10 minutes.  While this is typically a non-issue (you simply grind while talking, or watching the news, etc.), we have days where 5-10 minute grind sessions are just not possible and others were it just seems like my time should be better spent elsewhere (like walking the dog, or helping my kids).  If you are a rush out the door type of morning person or have large family commitments, heads up!1A) My friend has an electric grinder; he makes us espresso every time we go over.  It takes about 5 minutes for four of us to have cups in hands.  My family visited, and it was a solid 20 minutes before four of us had an espresso in hand.  This is absolutely, without question, a personal use device only, at least for fine grounds.2) Customer service for this company is BEYOND PHENOMENAL.  Our first grinder just seemed off, but being espresso newbs we weren't quite sure.  After explaining how it was grinding, they instantly said ''nope, that's not supposed to happen'' and shipped us a new grinder express.  It was quick, it was polite, it was easy.  Great, great, great service.3) So the new grinder arrives, and as noted it grinds beautifully!  The problem: the bottom half of the grinder (the storage container) slips off quite easily, as in, if you don't hang onto it while grinding it falls off.  The fix was simple: just switch the bottom with our defective grinder.  Regardless, my experience at this point, coupled with the thousands of reviews saying just how great their costumer service is, leads me to believe that the company does not have a great quality control unit and instead relies on great customer service.  THAT IS FINE.  If you're going to treat people like kings and queens when we contact you with defects, by all means, use that as your business model.  This remains a buyer beware situation, but quite possibly the nicest one you will ever find yourself it.So why 4 stars?  Because after 4 months, I think the drawbacks are noticeable enough to call this a very good, but not great product.  People need to be aware that you will spend a good chunk of time and energy grinding, and probably spend time and energy making sure your product is actually up to standard.Bottom line: I would definitely recommend this, warts and all, based on the price and quality grinds.  Just don't kid yourself about the warts."
